name,tokens_in,tokens_out,sample_idx,win0,win1,model_type0,model_type1,chosen_idx,order_switched,temperature1,temperature2,cmp_model
Ensemble Everything Everywhere,100,20,0,true,false,MoT,Baseline,0,0,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,20,1,true,false,MoT,Baseline,0,0,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,20,2,false,true,MoT,Baseline,0,1,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,20,3,false,true,MoT,Baseline,0,1,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,20,4,true,false,MoT,Baseline,0,0,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,20,5,false,true,MoT,Baseline,0,1,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,20,6,true,false,MoT,Baseline,0,0,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,20,7,true,false,MoT,Baseline,0,0,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,20,8,false,true,MoT,Baseline,0,1,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,20,9,false,true,MoT,Baseline,0,1,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,20,10,true,false,MoT,Baseline,0,0,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,20,11,false,true,MoT,Baseline,0,1,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,20,12,true,false,MoT,Baseline,0,0,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,20,13,true,false,MoT,Baseline,0,0,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,20,14,false,true,MoT,Baseline,1,0,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,20,15,true,false,MoT,Baseline,0,0,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,20,16,false,true,MoT,Baseline,1,0,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,20,17,false,true,MoT,Baseline,1,0,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,20,18,false,true,MoT,Baseline,0,1,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,20,19,false,true,MoT,Baseline,1,0,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,20,20,false,true,MoT,Baseline,0,1,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,20,21,false,true,MoT,Baseline,0,1,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,20,22,false,true,MoT,Baseline,0,1,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,20,23,false,true,MoT,Baseline,1,0,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,20,24,true,false,MoT,Baseline,0,0,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,100,0,false,true,MoT,Baseline,0,1,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,100,1,false,true,MoT,Baseline,0,1,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,100,2,true,false,MoT,Baseline,0,0,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,100,3,false,true,MoT,Baseline,0,1,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,100,4,true,false,MoT,Baseline,0,0,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,100,5,false,true,MoT,Baseline,0,1,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,100,6,false,true,MoT,Baseline,0,1,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,100,7,true,false,MoT,Baseline,0,0,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,100,8,false,true,MoT,Baseline,1,0,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,100,9,false,true,MoT,Baseline,0,1,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,100,10,false,true,MoT,Baseline,0,1,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,100,11,true,false,MoT,Baseline,0,0,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,100,12,true,false,MoT,Baseline,0,0,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,100,13,false,true,MoT,Baseline,0,1,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,100,14,false,true,MoT,Baseline,0,1,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,100,15,true,false,MoT,Baseline,0,0,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,100,16,true,false,MoT,Baseline,0,0,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,100,17,true,false,MoT,Baseline,0,0,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,100,18,true,false,MoT,Baseline,0,0,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,100,19,true,false,MoT,Baseline,0,0,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,100,20,false,true,MoT,Baseline,0,1,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,100,21,false,true,MoT,Baseline,0,1,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,100,22,false,true,MoT,Baseline,0,1,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,100,23,true,false,MoT,Baseline,0,0,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,100,24,false,true,MoT,Baseline,1,0,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,500,0,true,false,MoT,Baseline,0,0,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,500,1,false,true,MoT,Baseline,0,1,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,500,2,true,false,MoT,Baseline,0,0,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,500,3,true,false,MoT,Baseline,0,0,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,500,4,false,true,MoT,Baseline,0,1,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,500,5,false,true,MoT,Baseline,0,1,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,500,6,false,true,MoT,Baseline,0,1,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,500,7,true,false,MoT,Baseline,0,0,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,500,8,false,true,MoT,Baseline,0,1,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,500,9,false,true,MoT,Baseline,0,1,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,500,10,false,true,MoT,Baseline,0,1,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,500,11,true,false,MoT,Baseline,0,0,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,500,12,false,true,MoT,Baseline,1,0,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,500,13,true,false,MoT,Baseline,0,0,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,500,14,false,true,MoT,Baseline,0,1,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,500,15,false,true,MoT,Baseline,0,1,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,500,16,true,false,MoT,Baseline,0,0,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,500,17,false,true,MoT,Baseline,0,1,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,500,18,true,false,MoT,Baseline,0,0,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,500,19,true,false,MoT,Baseline,0,0,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,500,20,false,true,MoT,Baseline,0,1,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,500,21,false,true,MoT,Baseline,0,1,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,500,22,true,false,MoT,Baseline,0,0,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,500,23,false,true,MoT,Baseline,0,1,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,100,500,24,false,true,MoT,Baseline,1,0,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,20,20,0,false,true,MoT,Baseline,0,1,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,20,20,1,false,true,MoT,Baseline,1,0,0.0,0.0,gpt-4.1
Ensemble Everything Everywhere,20,20,2,false,true,MoT,Baseline,0,1,0.0,0.0,gpt-4.1
