name,tokens_in,tokens_out,sample_idx,bytes-tokens-000,tokens-tokens-000,chosen_idx,order_switched
Ensemble Everything Everywhere,100,20,0,true,false,1,1
Ensemble Everything Everywhere,100,100,0,false,true,0,1
Ensemble Everything Everywhere,100,500,0,true,false,0,0
Ensemble Everything Everywhere,100,20,1,true,false,1,1
Ensemble Everything Everywhere,100,100,1,true,false,0,0
Ensemble Everything Everywhere,100,500,1,false,true,0,1
Ensemble Everything Everywhere,20,20,0,true,false,1,1
Ensemble Everything Everywhere,20,100,0,false,true,0,1
Ensemble Everything Everywhere,20,500,0,false,true,0,1
Ensemble Everything Everywhere,20,20,1,false,true,1,0
Ensemble Everything Everywhere,20,100,1,false,true,0,1
Ensemble Everything Everywhere,20,500,1,false,true,1,0
Ensemble Everything Everywhere,500,20,0,false,true,0,1
Ensemble Everything Everywhere,500,100,0,false,true,0,1
Ensemble Everything Everywhere,500,500,0,true,false,1,1
Ensemble Everything Everywhere,500,20,1,false,true,0,1
Ensemble Everything Everywhere,500,100,1,false,true,0,1
Ensemble Everything Everywhere,500,500,1,true,false,1,1
King James Bible,100,20,0,true,false,0,0
King James Bible,100,100,0,false,true,1,0
King James Bible,100,500,0,true,false,0,0
King James Bible,100,20,1,true,false,0,0
King James Bible,100,100,1,false,true,1,0
King James Bible,100,500,1,true,false,1,1
King James Bible,20,20,0,true,false,0,0
King James Bible,20,100,0,false,true,0,1
King James Bible,20,500,0,false,true,0,1
King James Bible,20,20,1,true,false,0,0
King James Bible,20,100,1,false,true,0,1
King James Bible,20,500,1,false,true,0,1
King James Bible,500,20,0,false,true,1,0
King James Bible,500,100,0,false,true,1,0
King James Bible,500,500,0,false,true,1,0
King James Bible,500,20,1,true,false,1,1
King James Bible,500,100,1,false,true,0,1
King James Bible,500,500,1,false,true,1,0
uv,100,20,0,false,true,0,1
uv,100,100,0,false,true,1,0
uv,100,500,0,false,true,0,1
uv,100,20,1,false,true,0,1
uv,100,100,1,false,true,1,0
uv,100,500,1,false,true,0,1
uv,20,20,0,false,true,0,1
uv,20,100,0,false,true,1,0
uv,20,500,0,false,true,0,1
uv,20,20,1,false,true,1,0
uv,20,100,1,false,true,1,0
uv,20,500,1,false,true,1,0
uv,500,20,0,true,false,1,1
uv,500,100,0,true,false,1,1
uv,500,500,0,true,false,0,0
uv,500,20,1,true,false,1,1
uv,500,100,1,true,false,1,1
uv,500,500,1,true,false,0,0
Tokens vs. Bytes,100,20,0,false,true,0,1
Tokens vs. Bytes,100,100,0,false,true,0,1
Tokens vs. Bytes,100,500,0,false,true,1,0
Tokens vs. Bytes,100,20,1,false,true,1,0
Tokens vs. Bytes,100,100,1,false,true,0,1
Tokens vs. Bytes,100,500,1,false,true,0,1
Tokens vs. Bytes,20,20,0,false,true,1,0
Tokens vs. Bytes,20,100,0,false,true,1,0
Tokens vs. Bytes,20,500,0,true,false,1,1
Tokens vs. Bytes,20,20,1,true,false,1,1
Tokens vs. Bytes,20,100,1,false,true,1,0
Tokens vs. Bytes,20,500,1,true,false,0,0
Tokens vs. Bytes,500,20,0,true,false,0,0
Tokens vs. Bytes,500,100,0,true,false,1,1
Tokens vs. Bytes,500,500,0,true,false,1,1
Tokens vs. Bytes,500,20,1,true,false,0,0
Tokens vs. Bytes,500,100,1,true,false,0,0
Tokens vs. Bytes,500,500,1,true,false,0,0
Wikipedia: Chester Cathedral,100,20,0,false,true,1,0
Wikipedia: Chester Cathedral,100,100,0,false,true,1,0
Wikipedia: Chester Cathedral,100,500,0,false,true,1,0
Wikipedia: Chester Cathedral,100,20,1,false,true,0,1
Wikipedia: Chester Cathedral,100,100,1,false,true,1,0
Wikipedia: Chester Cathedral,100,500,1,false,true,0,1
Wikipedia: Chester Cathedral,20,20,0,true,false,1,1
Wikipedia: Chester Cathedral,20,100,0,true,false,0,0
Wikipedia: Chester Cathedral,20,500,0,true,false,1,1
Wikipedia: Chester Cathedral,20,20,1,false,true,1,0
Wikipedia: Chester Cathedral,20,100,1,true,false,1,1
Wikipedia: Chester Cathedral,20,500,1,true,false,0,0
Wikipedia: Chester Cathedral,500,20,0,false,true,0,1
