domain,bytes-tokens-000,tokens-tokens-000,% MoT,mean chosen_idx
Wikipedia: BAT99-98,6,12,33.333333333333336,0.7777777777777778
uv,10,8,55.55555555555556,0.6111111111111112
Wikipedia: Copyright Act 1911,12,6,66.66666666666667,0.3333333333333333
Tokens vs. Bytes,10,8,55.55555555555556,0.5555555555555556
Wikipedia: Malcolm X,17,1,94.44444444444444,0.2777777777777778
King James Bible,10,8,55.55555555555556,0.8333333333333334
Ensemble Everything Everywhere,8,10,44.44444444444444,0.3333333333333333
Wikipedia: Chester Cathedral,13,5,72.22222222222223,0.8888888888888888
toks_in: 20,23,25,47.916666666666664,0.5625
toks_in: 100,31,17,64.58333333333333,0.5625
toks_in: 500,32,16,66.66666666666667,0.6041666666666666
toks_out: 20,32,16,66.66666666666667,0.5208333333333334
toks_out: 100,29,19,60.416666666666664,0.5833333333333334
toks_out: 500,25,23,52.083333333333336,0.625
total,86,58,59.72222222222222,0.5763888888888888
