domain,bytes-tokens-050,tokens-tokens-050,% MoT,mean chosen_idx
uv,39,51,43.333333333333336,0.5666666666666667
Wikipedia: Malcolm X,41,49,45.55555555555556,0.3888888888888889
Wikipedia: BAT99-98,38,52,42.22222222222222,0.4444444444444444
Ensemble Everything Everywhere,55,35,61.111111111111114,0.5222222222222223
Wikipedia: Chester Cathedral,55,35,61.111111111111114,0.6444444444444445
King James Bible,53,37,58.888888888888886,0.5777777777777777
Tokens vs. Bytes,44,46,48.888888888888886,0.4777777777777778
Wikipedia: Copyright Act 1911,61,29,67.77777777777777,0.4222222222222222
toks_in: 20,120,120,50.0,0.5125
toks_in: 100,132,108,55.0,0.4375
toks_in: 500,134,106,55.833333333333336,0.5666666666666667
toks_out: 20,129,111,53.75,0.45
toks_out: 100,121,119,50.416666666666664,0.5208333333333334
toks_out: 500,136,104,56.666666666666664,0.5458333333333333
total,386,334,53.611111111111114,0.5055555555555555
