domain,bytes-tokens-050,tokens-tokens-050,% MoT,mean chosen_idx
Wikipedia: Malcolm X,43,47,47.77777777777778,0.5444444444444444
King James Bible,50,40,55.55555555555556,0.7
Tokens vs. Bytes,39,51,43.333333333333336,0.7222222222222222
Ensemble Everything Everywhere,57,33,63.333333333333336,0.6333333333333333
Wikipedia: BAT99-98,44,46,48.888888888888886,0.5333333333333333
uv,55,35,61.111111111111114,0.6777777777777778
Wikipedia: Chester Cathedral,53,37,58.888888888888886,0.6333333333333333
Wikipedia: Copyright Act 1911,62,28,68.88888888888889,0.6
toks_in: 20,106,134,44.166666666666664,0.6333333333333333
toks_in: 100,153,87,63.75,0.5875
toks_in: 500,144,96,60.0,0.6708333333333333
toks_out: 20,132,108,55.0,0.5583333333333333
toks_out: 100,133,107,55.416666666666664,0.625
toks_out: 500,138,102,57.5,0.7083333333333334
total,403,317,55.97222222222222,0.6305555555555555
