domain,bytes-tokens-100,tokens-tokens-100,% MoT,mean chosen_idx
uv,34,56,37.77777777777778,0.6222222222222222
King James Bible,64,26,71.11111111111111,0.6888888888888889
Ensemble Everything Everywhere,61,29,67.77777777777777,0.6111111111111112
Wikipedia: Chester Cathedral,51,39,56.666666666666664,0.5333333333333333
Wikipedia: Copyright Act 1911,52,38,57.77777777777778,0.5888888888888889
Wikipedia: BAT99-98,46,44,51.111111111111114,0.6555555555555556
Wikipedia: Malcolm X,38,52,42.22222222222222,0.5444444444444444
Tokens vs. Bytes,42,48,46.666666666666664,0.5777777777777777
toks_in: 20,130,110,54.166666666666664,0.5458333333333333
toks_in: 100,123,117,51.25,0.6208333333333333
toks_in: 500,135,105,56.25,0.6416666666666667
toks_out: 20,137,103,57.083333333333336,0.4625
toks_out: 100,126,114,52.5,0.5416666666666666
toks_out: 500,125,115,52.083333333333336,0.8041666666666667
total,388,332,53.888888888888886,0.6027777777777777
