domain,B (0.5),B (1.0),% B (0.5),mean chosen_idx
Wikipedia: Copyright Act 1911,71,19,78.88888888888889,0.5888888888888889
Ensemble Everything Everywhere,71,19,78.88888888888889,0.5555555555555556
Wikipedia: Malcolm X,80,10,88.88888888888889,0.5111111111111111
Wikipedia: Chester Cathedral,80,10,88.88888888888889,0.5222222222222223
Tokens vs. Bytes,65,25,72.22222222222223,0.6444444444444445
uv,66,24,73.33333333333333,0.5888888888888889
King James Bible,65,25,72.22222222222223,0.5666666666666667
Wikipedia: BAT99-98,82,8,91.11111111111111,0.5555555555555556
toks_in: 20,189,51,78.75,0.5208333333333334
toks_in: 100,198,42,82.5,0.5791666666666667
toks_in: 500,193,47,80.41666666666667,0.6
toks_out: 20,193,47,80.41666666666667,0.49166666666666664
toks_out: 100,200,40,83.33333333333333,0.5958333333333333
toks_out: 500,187,53,77.91666666666667,0.6125
total,580,140,80.55555555555556,0.5666666666666667
