domain,T (0.0),T (1.0),% T (0.0),mean chosen_idx
Ensemble Everything Everywhere,49,41,54.44444444444444,0.5
Wikipedia: Malcolm X,69,21,76.66666666666667,0.5777777777777777
uv,66,24,73.33333333333333,0.6555555555555556
Tokens vs. Bytes,32,58,35.55555555555556,0.4777777777777778
King James Bible,79,11,87.77777777777777,0.6888888888888889
Wikipedia: BAT99-98,72,18,80.0,0.6
Wikipedia: Chester Cathedral,78,12,86.66666666666667,0.4777777777777778
Wikipedia: Copyright Act 1911,69,21,76.66666666666667,0.5222222222222223
toks_in: 20,194,46,80.83333333333333,0.5625
toks_in: 100,160,80,66.66666666666667,0.5791666666666667
toks_in: 500,160,80,66.66666666666667,0.5458333333333333
toks_out: 20,189,51,78.75,0.4625
toks_out: 100,167,73,69.58333333333333,0.5916666666666667
toks_out: 500,158,82,65.83333333333333,0.6333333333333333
total,514,206,71.38888888888889,0.5625
